Municipio,Produto,Data da Coleta,Valor de Venda,Valor de Compra
SAO LUIS,GASOLINA,23/01/2019,"3,99","3,6477"
SAO LUIS,ETANOL,23/01/2019,"3,5",
SAO LUIS,DIESEL,23/01/2019,"3,49",
SAO LUIS,GASOLINA,23/01/2019,"3,999",
SAO LUIS,DIESEL S10,23/01/2019,"3,469",
SAO LUIS,GASOLINA,23/01/2019,"3,989",
SAO LUIS,DIESEL S10,23/01/2019,"3,449",
SAO LUIS,GASOLINA,23/01/2019,"3,999",
SAO LUIS,DIESEL S10,23/01/2019,"3,519",
SAO LUIS,GASOLINA,24/01/2019,"3,999",
SAO LUIS,DIESEL,24/01/2019,"3,399",
SAO LUIS,DIESEL S10,24/01/2019,"3,499",
SAO LUIS,GASOLINA,23/01/2019,"3,989",
SAO LUIS,DIESEL S10,23/01/2019,"3,499",
SAO LUIS,GASOLINA,23/01/2019,"4,099",
SAO LUIS,DIESEL S10,23/01/2019,"3,449",
SAO LUIS,GASOLINA,23/01/2019,"4,099",
SAO LUIS,DIESEL S10,23/01/2019,"3,449",
SAO LUIS,GASOLINA,24/01/2019,"3,999",
SAO LUIS,DIESEL S10,24/01/2019,"3,449",
SAO LUIS,GASOLINA,22/01/2019,"3,999","3,6986"
SAO LUIS,DIESEL S10,22/01/2019,"3,499",
SAO LUIS,GASOLINA,22/01/2019,"3,999","3,6592"
SAO LUIS,ETANOL,22/01/2019,"3,569",
SAO LUIS,DIESEL S10,22/01/2019,"3,459",
SAO LUIS,GASOLINA,23/01/2019,"3,999",
SAO LUIS,DIESEL S10,23/01/2019,"3,449",
SAO LUIS,GASOLINA,23/01/2019,"3,999",
SAO LUIS,DIESEL S10,23/01/2019,"3,469",
SAO LUIS,GASOLINA,24/01/2019,"3,999",
SAO LUIS,DIESEL S10,24/01/2019,"3,449",
SAO LUIS,GASOLINA,23/01/2019,"4,099",
SAO LUIS,ETANOL,23/01/2019,"3,509",
SAO LUIS,DIESEL,23/01/2019,"3,449",
SAO LUIS,DIESEL S10,23/01/2019,"3,549",
SAO LUIS,GASOLINA,24/01/2019,"3,969",
SAO LUIS,DIESEL S10,24/01/2019,"3,469",
SAO LUIS,GASOLINA,23/01/2019,"4,099",
SAO LUIS,DIESEL S10,23/01/2019,"3,469",
SAO LUIS,GASOLINA,22/01/2019,"3,989",
SAO LUIS,DIESEL S10,22/01/2019,"3,499",
SAO LUIS,GASOLINA,23/01/2019,"3,969","3,5844"
SAO LUIS,DIESEL,23/01/2019,"3,399",
SAO LUIS,DIESEL S10,23/01/2019,"3,499",
SAO LUIS,GASOLINA,23/01/2019,"4,099",
SAO LUIS,DIESEL S10,23/01/2019,"3,469",
SAO LUIS,GASOLINA,23/01/2019,"4,099",
SAO LUIS,DIESEL S10,23/01/2019,"3,469",
SAO LUIS,GASOLINA,23/01/2019,"3,989",
SAO LUIS,DIESEL S10,23/01/2019,"3,499",
SAO LUIS,GASOLINA,23/01/2019,"3,999",
SAO LUIS,DIESEL S10,23/01/2019,"3,469",
SAO LUIS,GASOLINA,23/01/2019,"4,099",
SAO LUIS,DIESEL S10,23/01/2019,"3,449",
SAO LUIS,GASOLINA,23/01/2019,"3,999",
SAO LUIS,DIESEL S10,23/01/2019,"3,469",
SAO LUIS,GASOLINA,23/01/2019,"4,099",
SAO LUIS,DIESEL S10,23/01/2019,"3,469",
SAO LUIS,GASOLINA,23/01/2019,"3,949",
SAO LUIS,DIESEL,23/01/2019,"3,399",
SAO LUIS,DIESEL S10,23/01/2019,"3,499",
SAO LUIS,GASOLINA,23/01/2019,"4,059",
SAO LUIS,DIESEL S10,23/01/2019,"3,449",
SAO LUIS,GASOLINA,23/01/2019,"3,999",
SAO LUIS,DIESEL S10,23/01/2019,"3,469",
SAO LUIS,GASOLINA,23/01/2019,"3,999",
SAO LUIS,DIESEL S10,23/01/2019,"3,499",
SAO LUIS,GASOLINA,24/01/2019,"3,969",
SAO LUIS,DIESEL S10,24/01/2019,"3,499",
SAO LUIS,GASOLINA,23/01/2019,"3,999",
SAO LUIS,DIESEL S10,23/01/2019,"3,449",
SAO LUIS,GASOLINA,23/01/2019,"3,999",
SAO LUIS,DIESEL,23/01/2019,"3,469",
SAO LUIS,DIESEL S10,23/01/2019,"3,549",
SAO LUIS,GASOLINA,29/01/2019,"3,979",
SAO LUIS,DIESEL S10,29/01/2019,"3,469",
SAO LUIS,GASOLINA,28/01/2019,"3,989",
SAO LUIS,DIESEL S10,28/01/2019,"3,499",
SAO LUIS,GASOLINA,29/01/2019,"3,969","3,6455"
SAO LUIS,DIESEL,29/01/2019,"3,399",
SAO LUIS,DIESEL S10,29/01/2019,"3,449",
SAO LUIS,GASOLINA,29/01/2019,"3,989",
SAO LUIS,DIESEL S10,29/01/2019,"3,499",
