Municipio,Produto,Data da Coleta,Valor de Venda,Valor de Compra
FORTALEZA,DIESEL S10,08/01/2019,"3,699",
FORTALEZA,GASOLINA,08/01/2019,"4,19",
FORTALEZA,ETANOL,08/01/2019,"3,399",
FORTALEZA,DIESEL S10,08/01/2019,"3,699",
FORTALEZA,GASOLINA,08/01/2019,"4,26","3,867"
FORTALEZA,ETANOL,08/01/2019,"3,49","2,9788"
FORTALEZA,DIESEL S10,08/01/2019,"3,499","3,2769"
FORTALEZA,GASOLINA,08/01/2019,"4,27",
FORTALEZA,ETANOL,08/01/2019,"3,499",
FORTALEZA,DIESEL S10,08/01/2019,"3,699",
FORTALEZA,GASOLINA,08/01/2019,"4,25","3,8167"
FORTALEZA,ETANOL,08/01/2019,"3,49",
FORTALEZA,DIESEL S10,08/01/2019,"3,69","3,3458"
FORTALEZA,GNV,08/01/2019,"3,47",
FORTALEZA,GASOLINA,08/01/2019,"4,23",
FORTALEZA,ETANOL,08/01/2019,"3,49",
FORTALEZA,DIESEL S10,08/01/2019,"3,699",
FORTALEZA,GASOLINA,08/01/2019,"4,24",
FORTALEZA,ETANOL,08/01/2019,"3,39",
FORTALEZA,DIESEL S10,08/01/2019,"3,59",
FORTALEZA,GASOLINA,08/01/2019,"4,24",
FORTALEZA,ETANOL,08/01/2019,"3,39",
FORTALEZA,DIESEL S10,08/01/2019,"3,699",
FORTALEZA,GASOLINA,08/01/2019,"4,29",
FORTALEZA,ETANOL,08/01/2019,"3,49",
FORTALEZA,DIESEL S10,08/01/2019,"3,59",
FORTALEZA,GASOLINA,08/01/2019,"4,349",
FORTALEZA,ETANOL,08/01/2019,"3,499",
FORTALEZA,DIESEL S10,08/01/2019,"3,699",
FORTALEZA,GASOLINA,08/01/2019,"4,19",
FORTALEZA,ETANOL,08/01/2019,"3,499",
FORTALEZA,DIESEL S10,08/01/2019,"3,69",
FORTALEZA,GASOLINA,08/01/2019,"4,34","3,8167"
FORTALEZA,ETANOL,08/01/2019,"3,59","3,1386"
FORTALEZA,DIESEL S10,08/01/2019,"3,779","3,3479"
FORTALEZA,GASOLINA,08/01/2019,"4,349",
FORTALEZA,ETANOL,08/01/2019,"3,629",
FORTALEZA,DIESEL S10,08/01/2019,"3,799",
FORTALEZA,GASOLINA,08/01/2019,"4,239","3,7564"
FORTALEZA,ETANOL,08/01/2019,"3,59","3,1468"
FORTALEZA,DIESEL S10,08/01/2019,"3,779","3,3368"
FORTALEZA,GASOLINA,08/01/2019,"4,34",
FORTALEZA,ETANOL,08/01/2019,"3,62",
FORTALEZA,DIESEL S10,08/01/2019,"3,79",
FORTALEZA,GASOLINA,08/01/2019,"4,199","3,8467"
FORTALEZA,ETANOL,08/01/2019,"3,629",
FORTALEZA,DIESEL S10,08/01/2019,"3,699","3,2769"
FORTALEZA,GASOLINA,08/01/2019,"4,19","3,7658"
FORTALEZA,ETANOL,08/01/2019,"3,49",
FORTALEZA,DIESEL S10,08/01/2019,"3,679","3,2769"
FORTALEZA,GASOLINA,08/01/2019,"4,19",
FORTALEZA,ETANOL,08/01/2019,"3,39",
FORTALEZA,DIESEL S10,08/01/2019,"3,69",
FORTALEZA,GNV,08/01/2019,"3,47",
FORTALEZA,GASOLINA,08/01/2019,"4,29",
FORTALEZA,ETANOL,08/01/2019,"3,499",
FORTALEZA,DIESEL S10,08/01/2019,"3,669",
FORTALEZA,GNV,08/01/2019,"3,49",
FORTALEZA,GASOLINA,08/01/2019,"4,34",
FORTALEZA,ETANOL,08/01/2019,"3,65",
FORTALEZA,DIESEL S10,08/01/2019,"3,799",
FORTALEZA,GASOLINA,08/01/2019,"4,29",
FORTALEZA,ETANOL,08/01/2019,"3,499",
FORTALEZA,DIESEL S10,08/01/2019,"3,689",
FORTALEZA,GASOLINA,08/01/2019,"4,24","3,7867"
FORTALEZA,ETANOL,08/01/2019,"3,39",
FORTALEZA,DIESEL S10,08/01/2019,"3,69","3,2689"
FORTALEZA,GASOLINA,08/01/2019,"4,249",
FORTALEZA,ETANOL,08/01/2019,"3,49",
FORTALEZA,DIESEL S10,08/01/2019,"3,69",
FORTALEZA,GASOLINA,08/01/2019,"4,349",
FORTALEZA,ETANOL,08/01/2019,"3,499",
FORTALEZA,DIESEL S10,08/01/2019,"3,749",
FORTALEZA,GASOLINA,08/01/2019,"4,179",
FORTALEZA,ETANOL,08/01/2019,"3,65",
FORTALEZA,DIESEL S10,08/01/2019,"3,79",
FORTALEZA,GASOLINA,08/01/2019,"4,25",
FORTALEZA,ETANOL,08/01/2019,"3,39",
FORTALEZA,DIESEL S10,08/01/2019,"3,69",
FORTALEZA,GASOLINA,08/01/2019,"4,27",
FORTALEZA,ETANOL,08/01/2019,"3,399",
FORTALEZA,DIESEL S10,08/01/2019,"3,499",
FORTALEZA,GASOLINA,08/01/2019,"4,27","3,8769"
FORTALEZA,ETANOL,08/01/2019,"3,499",
FORTALEZA,DIESEL S10,08/01/2019,"3,699","3,2876"
FORTALEZA,GASOLINA,08/01/2019,"4,34",
FORTALEZA,ETANOL,08/01/2019,"3,69",
FORTALEZA,DIESEL S10,08/01/2019,"3,749",
FORTALEZA,GASOLINA,08/01/2019,"4,199","3,7524"
FORTALEZA,ETANOL,08/01/2019,"3,49","3,0368"
FORTALEZA,DIESEL S10,08/01/2019,"3,699","3,2697"
FORTALEZA,GASOLINA,08/01/2019,"4,25",
FORTALEZA,DIESEL S10,08/01/2019,"3,79",
FORTALEZA,GASOLINA,08/01/2019,"4,259",
FORTALEZA,ETANOL,08/01/2019,"3,489",
FORTALEZA,DIESEL S10,08/01/2019,"3,589",
FORTALEZA,GASOLINA,08/01/2019,"4,25","3,7769"
FORTALEZA,ETANOL,08/01/2019,"3,399",
FORTALEZA,DIESEL S10,08/01/2019,"3,599","3,2928"
FORTALEZA,GASOLINA,08/01/2019,"4,25",
FORTALEZA,ETANOL,08/01/2019,"3,399",
FORTALEZA,DIESEL S10,08/01/2019,"3,69",
FORTALEZA,GASOLINA,08/01/2019,"4,249","3,8162"
FORTALEZA,ETANOL,08/01/2019,"3,399",
FORTALEZA,DIESEL S10,08/01/2019,"3,699","3,3244"
FORTALEZA,GASOLINA,08/01/2019,"4,27","3,8469"
